ImageNumber,Filename,Treatment,Batch
1,VID5486_E3_1_00d00h00m.tif,Vehicle,exp1
2,VID5486_E3_3_00d00h00m.tif,Vehicle,exp1
3,VID5486_E4_1_00d00h00m.tif,LPS,exp1
4,VID5486_E4_3_00d00h00m.tif,LPS,exp1
5,VID5486_E5_1_00d00h00m.tif,IFNr,exp1
6,VID5486_E5_3_00d00h00m.tif,IFNr,exp1
7,VID5486_E7_1_00d00h00m.tif,IL1beta,exp1
8,VID5486_E7_3_00d00h00m.tif,IL1beta,exp1
9,VID5486_E8_1_00d00h00m.tif,IL6,exp1
10,VID5486_E8_3_00d00h00m.tif,IL6,exp1
11,VID5486_E9_1_00d00h00m.tif,TNFa,exp1
12,VID5486_E9_3_00d00h00m.tif,TNFa,exp1
13,VID5486_F3_1_00d00h00m.tif,Vehicle,exp1
14,VID5486_F3_3_00d00h00m.tif,Vehicle,exp1
15,VID5486_F4_1_00d00h00m.tif,LPS,exp1
16,VID5486_F4_3_00d00h00m.tif,LPS,exp1
17,VID5486_F5_1_00d00h00m.tif,IFNr,exp1
18,VID5486_F5_3_00d00h00m.tif,IFNr,exp1
19,VID5486_F7_1_00d00h00m.tif,IL1beta,exp1
20,VID5486_F7_3_00d00h00m.tif,IL1beta,exp1
21,VID5486_F8_1_00d00h00m.tif,IL6,exp1
22,VID5486_F8_3_00d00h00m.tif,IL6,exp1
23,VID5486_F9_1_00d00h00m.tif,TNFa,exp1
24,VID5486_F9_3_00d00h00m.tif,TNFa,exp1
25,VID5486_G3_1_00d00h00m.tif,Vehicle,exp1
26,VID5486_G3_3_00d00h00m.tif,Vehicle,exp1
27,VID5486_G4_1_00d00h00m.tif,LPS,exp1
28,VID5486_G4_3_00d00h00m.tif,LPS,exp1
29,VID5486_G5_1_00d00h00m.tif,IFNr,exp1
30,VID5486_G5_3_00d00h00m.tif,IFNr,exp1
31,VID5486_G7_1_00d00h00m.tif,IL1beta,exp1
32,VID5486_G7_3_00d00h00m.tif,IL1beta,exp1
33,VID5486_G8_1_00d00h00m.tif,IL6,exp1
34,VID5486_G8_3_00d00h00m.tif,IL6,exp1
35,VID5486_G9_1_00d00h00m.tif,TNFa,exp1
36,VID5486_G9_3_00d00h00m.tif,TNFa,exp1
37,VID653_E2_1_00d00h00m.tif,Vehicle,exp2
38,VID653_E2_3_00d00h00m.tif,Vehicle,exp2
39,VID653_E3_1_00d00h00m.tif,LPS,exp2
40,VID653_E3_3_00d00h00m.tif,LPS,exp2
41,VID653_E4_1_00d00h00m.tif,IFNr,exp2
42,VID653_E4_3_00d00h00m.tif,IFNr,exp2
43,VID653_E6_1_00d00h00m.tif,IL1beta,exp2
44,VID653_E6_3_00d00h00m.tif,IL1beta,exp2
45,VID653_E7_1_00d00h00m.tif,IL6,exp2
46,VID653_E7_3_00d00h00m.tif,IL6,exp2
47,VID653_E8_1_00d00h00m.tif,TNFa,exp2
48,VID653_E8_3_00d00h00m.tif,TNFa,exp2
49,VID653_F2_1_00d00h00m.tif,Vehicle,exp2
50,VID653_F2_3_00d00h00m.tif,Vehicle,exp2
51,VID653_F3_1_00d00h00m.tif,LPS,exp2
52,VID653_F3_3_00d00h00m.tif,LPS,exp2
53,VID653_F4_1_00d00h00m.tif,IFNr,exp2
54,VID653_F4_3_00d00h00m.tif,IFNr,exp2
55,VID653_F6_1_00d00h00m.tif,IL1beta,exp2
56,VID653_F6_3_00d00h00m.tif,IL1beta,exp2
57,VID653_F7_1_00d00h00m.tif,IL6,exp2
58,VID653_F7_3_00d00h00m.tif,IL6,exp2
59,VID653_F8_1_00d00h00m.tif,TNFa,exp2
60,VID653_F8_3_00d00h00m.tif,TNFa,exp2
61,VID653_G2_1_00d00h00m.tif,Vehicle,exp2
62,VID653_G2_3_00d00h00m.tif,Vehicle,exp2
63,VID653_G3_1_00d00h00m.tif,LPS,exp2
64,VID653_G3_3_00d00h00m.tif,LPS,exp2
65,VID653_G4_1_00d00h00m.tif,IFNr,exp2
