ImageNumber,Filename,Treatment,Well,Time_hr
1,VID5484_B3_1_00d00h00m.tif,Vehicle,B3,0
2,VID5484_B3_1_00d02h00m.tif,Vehicle,B3,2
3,VID5484_B3_1_00d04h00m.tif,Vehicle,B3,4
4,VID5484_B3_1_00d06h00m.tif,Vehicle,B3,6
5,VID5484_B3_1_00d08h00m.tif,Vehicle,B3,8
6,VID5484_B3_1_00d10h00m.tif,Vehicle,B3,10
7,VID5484_B3_1_00d12h00m.tif,Vehicle,B3,12
8,VID5484_B3_1_00d14h00m.tif,Vehicle,B3,14
9,VID5484_B3_1_00d16h00m.tif,Vehicle,B3,16
10,VID5484_B3_1_00d18h00m.tif,Vehicle,B3,18
11,VID5484_B3_1_00d20h00m.tif,Vehicle,B3,20
12,VID5484_B3_1_00d22h00m.tif,Vehicle,B3,22
13,VID5484_B3_1_01d00h00m.tif,Vehicle,B3,24
14,VID5484_B3_3_00d00h00m.tif,Vehicle,B3,0
15,VID5484_B3_3_00d02h00m.tif,Vehicle,B3,2
16,VID5484_B3_3_00d04h00m.tif,Vehicle,B3,4
17,VID5484_B3_3_00d06h00m.tif,Vehicle,B3,6
18,VID5484_B3_3_00d08h00m.tif,Vehicle,B3,8
19,VID5484_B3_3_00d10h00m.tif,Vehicle,B3,10
20,VID5484_B3_3_00d12h00m.tif,Vehicle,B3,12
21,VID5484_B3_3_00d14h00m.tif,Vehicle,B3,14
22,VID5484_B3_3_00d16h00m.tif,Vehicle,B3,16
23,VID5484_B3_3_00d18h00m.tif,Vehicle,B3,18
24,VID5484_B3_3_00d20h00m.tif,Vehicle,B3,20
25,VID5484_B3_3_00d22h00m.tif,Vehicle,B3,22
26,VID5484_B3_3_01d00h00m.tif,Vehicle,B3,24
27,VID5484_B4_1_00d00h00m.tif,LPS,B4,0
28,VID5484_B4_1_00d02h00m.tif,LPS,B4,2
29,VID5484_B4_1_00d04h00m.tif,LPS,B4,4
30,VID5484_B4_1_00d06h00m.tif,LPS,B4,6
31,VID5484_B4_1_00d08h00m.tif,LPS,B4,8
32,VID5484_B4_1_00d10h00m.tif,LPS,B4,10
33,VID5484_B4_1_00d12h00m.tif,LPS,B4,12
34,VID5484_B4_1_00d14h00m.tif,LPS,B4,14
35,VID5484_B4_1_00d16h00m.tif,LPS,B4,16
36,VID5484_B4_1_00d18h00m.tif,LPS,B4,18
37,VID5484_B4_1_00d20h00m.tif,LPS,B4,20
38,VID5484_B4_1_00d22h00m.tif,LPS,B4,22
39,VID5484_B4_1_01d00h00m.tif,LPS,B4,24
40,VID5484_B4_3_00d00h00m.tif,LPS,B4,0
41,VID5484_B4_3_00d02h00m.tif,LPS,B4,2
42,VID5484_B4_3_00d04h00m.tif,LPS,B4,4
43,VID5484_B4_3_00d06h00m.tif,LPS,B4,6
44,VID5484_B4_3_00d08h00m.tif,LPS,B4,8
